budget,cast_members,crew_members,genres,language,overview,released_date,revenue,reviews,runtime,title
,,,,,,,,"The second movie in the new Spider-man movie series that directed by Marc Webb. I doubt his potential after seeing this movie. I feel someone should take his position before it become too late. In the history of the Spider-man movies, from all the 6 this one is the worst. Commercially it has done a great business that grabbed around $800 million all over the world, but failed to deliver another quality movie for the fans. The movie engaged with the too much character and subplots. The subplots were not placed in the right spots, kind of random appearance brings the chaos in understanding the st... ,It seems that Spider Man is doomed to receive mediocre to abysmal implementations on the big screen. Well, at least in my opinion. The Amazing Spider Man 2 currently have a rating of 7.1 which quite surprises me. This was not the worst Spider Man movie. The 2nd instalment, Spider-Man 2, in the first series with Tobey Maquire still holds that title firmly.,There are some nice special effect fireworks going on and there are some funny parts when Peter Parker puts on the mask and goes to action but apart from that I found the movie uninspired, with a mediocre plot and sometimes downright boring... ,The story is predictable and with zero neurons on it but Garfield and Stone connection is good and the comedy moments sort of enjoyable.,Probably you could remove the super-hero mess and you would  had a much better romantic comedy.,Spider-Man stuffed once again.,Marc Webb returns to direct what Sony had hoped was the second instalment of a longer running reboot of the Spider-Man franchise. Writing this now, I'm armed with the knowledge that once again the web slinger will get another reboot in 2017, which after viewing this sequel comes as no surprise.,It's not so much that it's a bad film, or a bad Spider-Man film at that, it's just that it feels all very familiar, whilst simultaneously hugging the same pitfalls as Sam Raimi's Spiderman 3. Webb tries to juggle a screenplay with 3 villains (well two and a half reall... ",,
,,,,,,,,"After the success of the first two Spider-Man films, Spider-Man 3 represents Sam Raimi's inability to overcome the biggest hurdle of a third movie, a hurdle that Alien 3, The Godfather Part 3, RoboCop 3, and the list goes on could not: studio interference.,Although I wish that would be the only thing wrong with Spider-Man 3. But almost every storytelling decision - from the creation of Sandman to Peter instantly falling in love with his new costume to that thing that was never actually called Venom - is just plain stupid. Right from the get go you hate Peter Parker.,Studio interference di... ",,
" $215,000,000.00","AndrewGarfield,PeterParker/Spider-Man,EmmaStone,GwenStacy,RhysIfans,Dr.CurtConnors/TheLizard,DenisLeary,CaptainStacy,CampbellScott,RichardParker","James Vanderbilt,Screenplay, Story,Steve Ditko,Characters,Stan Lee,Characters,Marc Webb,Director,Steve Kloves,Screenplay,Alvin Sargent,Screenplay","Action,Adventure,Fantasy", English,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","July4,2012"," $752,215,857.00",, 2h 16m,The Amazing Spider-Man
,,,,,,,,"“The Amazing Spider-Man” has no reason to exist. Spider-man is a hero everyone knows. He´s been around for so long everyone is familiar with his origin, comic fan or not. Its basic pop culture. Then you have the Sam Raimi´s movies. Everyone saw them. They made loads of money and they´re always on tv. They are entertaining movies. “Spider-Man” gave us a good origin story in 2002. This movie simply wasn't needed. 
Now I gave it the benefit of the doubt. There´s Burton´s Batman and Nolan´s. Maybe this was a different Spider-Man. A more “dark” vision perhaps! Maybe the movie spent a few minutes on... ,This is the fourth spider man movie although it is not the fourth sequel but rather one of these reboots which seems to be so popular today. I found the movie to be quite enjoyable but at the same time a bit of a let-down.,In some ways it is better than the previous trilogy by Sam Raimi (well it is not very hard to make something that is better than the 2nd installment in that trilogy of course). The film is darker, more serious and Spider Man is not so silly and a total mess-up when out of his costume as the character portrayed by Toby Maquire.,However, this movie has its own faults whic... ,Webb's Spider-Man, Spider-Man, does what ever a Spider can.,The Amazing Spider-Man is directed by Marc Webb and collectively written by James Vanderbilt, Alvin Sargent and Steve Kloves. It stars Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen and Sally Field. Music is by James Horner and cinematography by John Schwartzman. ,Peter Parker (Garfield) was orphaned as a boy when his parents were killed in a plane crash, raised by his Uncle Ben (Sheen) and Aunt May (Field), he is a clever lad but something of an outcast at high school. While investigating the disappearance of... ",,
budget,cast_members,crew_members,genres,language,overview,released_date,revenue,reviews,runtime,title
" $280,000,000.00","RobertDowneyJr.,TonyStark/IronMan,ChrisEvans,SteveRogers/CaptainAmerica,ChrisHemsworth,ThorOdinson,MarkRuffalo,BruceBanner/TheHulk,ScarlettJohansson,NatashaRomanoff/BlackWidow","Joss Whedon,Director, Writer,Jack Kirby,Characters,Stan Lee,Characters","Action,Adventure,Science Fiction", English,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","May1,2015"," $1,405,403,694.00",, 2h 21m,Avengers: Age of Ultron
 -,"ErikaJordan,Lori/BikiniAvenger,JacquiHolland,Stephanie/ThongGirl,SarahHunter,JadeEmpress,BeverlyLynne,PrincessBrushka,EricMasterson,Carl/Henchman","Dean McKendrick,Director",Comedy, English,"When the Jade Empress steals the world's largest diamonds, super heroes Bikini Avenger and Thong Girl must stop her before she uses the gems to build a dangerous sci-fi weapon.","February24,2015", -,, 1h 21m,Bikini Avengers
" $220,000,000.00","RobertDowneyJr.,TonyStark/IronMan,ChrisEvans,SteveRogers/CaptainAmerica,ChrisHemsworth,ThorOdinson,MarkRuffalo,BruceBanner/TheHulk,ScarlettJohansson,NatashaRomanoff/BlackWidow","Joss Whedon,Director, Screenplay, Story,Jack Kirby,Characters,Zak Penn,Story","Science Fiction,Action,Adventure", English,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","May4,2012"," $1,519,557,910.00",, 2h 23m,The Avengers
" $60,000,000.00","RalphFiennes,JohnSteed,UmaThurman,EmmaPeel,SeanConnery,SirAugustdeWynter,PatrickMacnee,InvisibleJones(voice),JimBroadbent,Mother","Jeremiah S. Chechik,Director,Sydney Newman,Screenplay,Don MacPherson,Writer","Thriller,Science Fiction", English,"British Ministry agent John Steed, under direction from ""Mother"", investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful Doctor Mrs. Emma Peel, the only suspect, but simultaneously falls for her and joins forces with her to combat Sir August.","August14,1998"," $48,585,416.00",, 1h 29m,The Avengers
" $300,000,000.00","RobertDowneyJr.,TonyStark/IronMan,ChrisHemsworth,ThorOdinson,ChrisEvans,SteveRogers/CaptainAmerica,MarkRuffalo,BruceBanner/TheHulk,ScarlettJohansson,NatashaRomanoff/BlackWidow","Joe Russo,Director,Anthony Russo,Director,Stephen McFeely,Screenplay,Christopher Markus,Screenplay","Adventure,Action,Science Fiction", English,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","April23,2018,April27,2018,July31,2018,August14,2018"," $2,046,239,637.00",, 2h 29m,Avengers: Infinity War
 -,"JustinGross,CaptainAmerica,GreyDeLisle,TheWasp,MichaelMassee,BruceBanner,Oliviad'Abo,BlackWidow,MarcWorden,IronMan","Mark Millar,Characters,Bryan Hitch,Characters,Bob Richardson,Director,Steven E. Gordon,Director,Curt Geda,Director,Greg Johnson,Screenplay","Action,Animation,Adventure,Science Fiction", English,"When a nuclear missile was fired at Washington in 1945, Captain America managed to detonate it in the upper atmosphere. But then he fell miles into the icy depths of the North Atlantic, where he remained lost for over sixty years. But now, with the world facing the very same evil, Captain America must rise again as our last hope for survival.","February21,2006"," $6,700,000.00",, 1h 12m,Ultimate Avengers
" $356,000,000.00","RobertDowneyJr.,TonyStark/IronMan,ChrisEvans,SteveRogers/CaptainAmerica,MarkRuffalo,BruceBanner/Hulk,ChrisHemsworth,Thor,ScarlettJohansson,NatashaRomanoff/BlackWidow","Joe Russo,Director,Anthony Russo,Director,Stephen McFeely,Screenplay,Christopher Markus,Screenplay","Adventure,Science Fiction,Action", English,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","April22,2019,April26,2019,June28,2019,July30,2019,August13,2019"," $2,795,486,053.00",, 3h 1m,Avengers: Endgame
,,,,,,,,"There is a lot going on in this movie but it all just seemed kind of pointless and dull to me. Every now and then there would be a good scene or piece of dialogue but for the most part I felt myself getting bored and reaching for my phone to play Cribbage. I guess what I didn't like most is that it all felt like a big filler episode instead of an action packed character driven story arc.,Action, good Fx and a ""not-completely-absurd"" story. The actors perform well and you can identify them very well with their characters ... but it is all old and without imagination.,I suppose nobody was expecting anything else, though ...,This is another one of those movies that you watch primarily for the special effects with you favourite super heroes slugging it out. It is a classical Hollywood product where the story is mostly there just as a vehicle for allowing the special effects team to do their business. As such it is a success.,The movie starts of with a display of action and the afore mentioned special effects with an attack by the Avengers on a bad guy stronghold. Not surprisingly the events sows the seeds for things to come.,The movie starts off with quite an interesting story idea with the activation of Ultro... ,I’ve just returned from two back-to-back viewings of ,, and I do not regret one bit going in for that second helping.,I lost my steam on the , wagon at a very inopportune moment. About three days before it came out. I was so heavily anticipating it for such a long time, that I was actually much more excited to see this movie when it was still two months away than I was waiting in line to get into the cinema it was playing at. The combination of the market-saturation and the fact that the _Ultron _hype-... ,The fact that Joss Whedon was able to salvage some sort of coherent film out of all he was forced to cram into a single movie is quite commendable. But the sad fact is that Avengers: Age of Ultron is really just a run of the mill ""bad guy wants to destroy the world for reasons"" actioner that we've seen done better many times before.,Don't get me wrong. The movie's fun. The dialogue is frequently clever and humourous. And I really appreciated the quiet bits of storytelling that Whedon was able to sneak in. It's just that at the end of the day, the villain is weak sauce, there's way too much s... ",,
,,,,,,,,"The epic Marvel Saga that started over ten years ago has been building up to the inevitable clash with the powerful tyrant Thanos (Josh Brolin).  Last year’s “Avengers: Infinity War” set the stage for the highly-anticipated conclusion; “Avengers: End Game” and at long last it has arrived.,Picking up shortly after the events of the last film, the Avengers must deal with the aftermath of what Thanos has done. The team is naturally divided between wanting revenge, wanting to set things right, and just wanting to take what they have and go on. ,As time passes and they struggle to accept the r... ,Hey, so, just some really quick thoughts I wanna get down, 'cause it's after 1 o'clock in the morning, and I wanna get some sleep so I can wake up well rested to see , again.,Putting it out there right from the get-go, , is my favourite MCU movie. It's my favourite movie of the year too, but I've only seen like ten or so 2019 releases, and this is the 22nd Marvel Cinematic Universe film, so that seems far and away the bigger deal. I can't say it's perfect, there's some conflicting stuff within its own runtime that really doesn't seem to gel (though a re-watch may pr... ,If you enjoy reading my Spoiler-Free reviews, please follow my blog :),Don't worry. This is going to be a pretty vague review. Right now, as I'm writing this sentence, I'm still processing what I saw and how am I going to explain how I felt without spoiling a single tiny thing. First of all, it's such a mix of feelings. On one hand, I'm extremely happy that I was lucky to be alive during this epic time and that I was able to follow these characters that I love and care about so much. On the other hand, I'm obviously sad that it finally reached the end of this (hopefully) first incredible sag... ,okay so if your like me you questioned this movie due to the fact that i personally thought nothing could beat infinity war well after seeing it i can honestly say we have a new champion this was absolutley excelent so hilarious action packed the 3 hrs passes extremily fast my only thing is the use of god.... bothered me and i suggest if your offended by that wait till dvd so you can mute the parts also a reminder to parents 'no matter how bad you want to see the movie dont do like people in my theater did and bring your 3 year old 'but besides that awesome movie,We waited till day 5 of release in theaters. There was a slow start to the movie so i don't recommend taking little ones under the age of 10. After all the anticipation and hype,Avengers Endgame did not disappoint. Waa a perfect ""ending' to the series. Very well done,These kind of movies are among the few movies that I can be bothered to go to an actual theater to watch nowadays. For most movies I just wait until they come out on disk (preferably Ultra HD Blu-ray if it’s available) and watch them on my home theater rig. So this weekend me and the kids went to the theater to watch Avengers: Endgame.,I have to say that it was better, even much better, than I feared. I really feared that the SJW retards at Marvel would take this opportunity to completely re-organize the Marvel universe to their liking. Like how they completely ruined both professor Xavier a... ,Awesome!,How are the surviving Avengers & Co. possibly going to save half of the Universe that died? My wife & I had this discussion before viewing. It basically comes down to two options (assuming the events in ""Infinity War"" weren’t just a dream): magic or time travel. All I’ll say is: What they came up with was in ways reminiscent of the plot convolutions of ""Back to the Future II"" (1989).,“Endgame” (2019) begins strong with the devastating reality of half of all living beings in the Universe suddenly vanishing. It star... ",,
,,,,,,,,"""It is a bold undertaking, to readjust what is expected of the MCU/Avengers formula, and there are moments when the sheer scale and momentum match the narrative ambition..."",Read the full review here: http://screen-space.squarespace.com/reviews/2018/4/25/avengers-infinity-war.html,Amazing.  Visually stunning.  So much going on, but somehow also clear and easy to understand.  A little flabby in the middle third, but given the huge cast and story to cover it is very understandable.  The highlight was the parings of characters from different stories and their interactions.,If you aren't a Marvel fan this film won't convert you, but if you have liked any of the previous films you will like this too.,10/10,Just a very short, NO SPOILERS review I wanted to get down while it's still fresh.,For a movie with this much riding it, to come out not feeling disappointed, is a , achievement. While I absolutely do love it I had some things that I felt were maybe imperfect about ,, but my biggest concern was that it seemed like it would be absolutely meaningless to somebody who didn't put in the effort of watching the 18 movies leading up to it. You can probably assuage that fear though, because I went to see it with two people who had only seen , at this point, and th... ,The third act turns on a character being an idiot. That story beat renders all that the heroes do before and after it immaterial. That moment so preoccupied me that I couldn't enjoy the rest of the story, and made it impossible to ignore the flick's other glaring flaws anymore: the villain's motive makes no sense, the glove exists only to produce plot contrivances, the score is so obvious it might as well be cue cards on screen (""Feel sad now"") ...,The first half is some of the best action in a Disney Marvel entry yet, and the other half is so stupid that it sours the whole MCU experience.,Best MCU movie, more than that.... BEST SUPERHERO MOVIE EVER. Hands Down,Nice Movie.,Massive, epic movie. I'm so happy that Marvel is stepping up their game with their villains. For too long, MCU villains have been too bland and generic. But lately, the villains have improved with Michael Keaton's Vulture, Michael B. Jordan's Killmonger, and now James Brolin's Thanos. Thanos has appeared in several other MCU films, but he seemed rather flat in those movies. Here, he's allowed to be fully developed as a character. Especially touching is his relationship with his adoptive daughter, Gamora. It's actually surprisingly tender and moving. Thanos is the actual main focus of the film,... ,Best Movie Ever...,RELEASED IN 2018 and directed by Anthony & Joe Russo, ""Avengers: Infinity War"" chronicles events when the Avengers team-up with several allies to defeat the cosmic despot Thanos, whose goal is to collect all six Infinity Stones to attain unimaginable power and radically solve one of the Universe's most challenging problems.,The story focuses on Thanos, Thor and the Guardians of the Galaxy, especially Gamora, as well as Iron Man, Doctor Strange and Spider-Man. The rest of the cast members are more peripheral, e.g. Black Widow,... ,I Love this movie.",,
,,,,,,,,"With a movie like this you wonder how all of the otherwise, main characters will work together and support the story.,No problems here.  While as might be expected, R. Downey Jr. comes across largely central, it is still a good mix and IMHO the best scenes in the movie involve the generated Hulk character.,With that kind of successful melding of characters, Hollywood-scale egos and even computer generated characters; you have to give it up to the writers and director to make this the successful film that it is.,My new favourite Marvel Cinematic Universe film, undoubtedly! Order goes thusly;,I had the privilege of going to Sydney and watching this almost a full three weeks before it’s American release, in a special advance screening for fans and a handful of critics. I drove up and back on a day trip with my mate HRV, spent over $400 between us… So worth it.,I think perhaps my expectations of The Avengers were too high. In fact I know they were, even so, I feel... ,After the recent disappointments from Marvel, notably Thor and the abysmal second instalment of Ghost Rider, this was a pleasant experience.,The special effects are dazzling, the plot is acceptable and the heroes are not making total idiots out of themselves just because the director wanted some “depth” to their characters. Sure there is a little bickering in between them but not too much to distract from the fun.,I’ve always liked Robert Downey Jr’s portrayal of Tony Stark and his sharp tongue. I did wonder how they where going to get the Hulk in there since he’s supposed to be uncontrol... ,One of the few movies to actually make me feel like a kid again, Joss Whedon was the perfect filmmaker to do this film. Everyone gets their time to shine. The script juggles every plot point and character moment with clarity and ease. It's funny, smart, and visually jaw dropping. Definitely lived up to the five movie hype.,I give this 10 Stars based on it being not only better than the trailer and the hype made me thing it would be, but also that it was the first time anything the size and scope of the Marvel Cinematic universe was pulled off successfully. Having Joss direct this movie lives and dies on character interaction. This movie is on the definitive list in my opinion even just for that.,Everything that's happening, the things that are about to come to light, people might just need a little old fashioned.,The Avengers (AKA: Avengers Assemble) is written and directed by Joss Whedon, with Zak Penn co-writing the story. It stars Robert Downey Junior, Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddlestone, Clark Gregg, Samuel L. Jackson, Cobie Smulders and Stellan Skarsgard. Music is scored by Alan Silvestri and cinematography by Seamus McGarvey.,Asgardian outcast Loki (Hiddlestone) has struck a deal with the Chitauri to exchange the Te... ",,
