budget,cast_members,crew_members,genres,language,overview,released_date,revenue,reviews,runtime,title
" $260,000,000.00","DonaldGlover,Simba(voice),BeyoncéKnowles,Nala(voice),JamesEarlJones,Mufasa(voice),ChiwetelEjiofor,Scar(voice),AlfreWoodard,Sarabi(voice)","Jonathan Roberts,Characters,Linda Woolverton,Characters,Irene Mecchi,Characters,Jon Favreau,Director,Jeff Nathanson,Screenplay,Brenda Chapman,Story","Adventure,Animation,Family,Drama,Action", English,"Simba idolises his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.","July19,2019"," $1,023,582,142.00","A review by SWITCH.,‘The Lion King’ is a catastrophe; a new low in the ever-diminishing returns of Disney’s endless run of remakes. There’s nothing redeeming about it, with every decision either ill-conceived or mishandled to the point of incompetence. In Favreau’s hands, ‘The Lion King’ is rendered thunderously dull, lacking in any tension or complex characterisation, taking a laboriously long time to go nowhere and never once justifying its contentious existence. Even with my dislike of the original, I was flabbergasted at how thoroughly this film never attempts to understand why so many people love the 1994 fil... ,A review by msbreviews,If you enjoy reading my Spoiler-Free reviews, please follow my blog :),I don’t know how I should start, but I guess I’ll address something that people might ask: yes, it’s a SPOILER-FREE review. Why? Well, the story might follow the same essential plot points, and the characters might have similar narrative paths, but there are so many details that make this movie stand on its own. From tiny little improvements to moments of the original that wouldn’t make sense in a realistic environment to adjustments to character’s backstory, musical moments or other significant parts. With that said, I n... ", 1h 58m,The Lion King
 -,"MatthewBroderick,Simba(voice),MoiraKelly,Nala(voice),NeveCampbell,AdultKiara(voice),LizCallaway,AdultKiara(singingvoice),AndyDick,Nuka(voice)","Darrell Rooney,Director,Cindy Marcus,Screenplay,Flip Kobler,Screenplay","Adventure,Animation,Family", English,"The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?","October26,1998", -,"A review by Gimly,If the first is Hamlet with lions then this one is Romeo & Juliet with lions. And if the first is a great kids' movie then this one is a passable kids' movie.", 1h 21m,The Lion King 2: Simba's Pride
" $45,000,000.00","MatthewBroderick,Simba(voice),JonathanTaylorThomas,YoungSimba(voice),JamesEarlJones,KingMufasa(voice),JeremyIrons,Scar(voice),MoiraKelly,Nala(voice)","Rob Minkoff,Director,Roger Allers,Director,Irene Mecchi,Screenplay,Linda Woolverton,Screenplay,Jonathan Roberts,Screenplay,Tom Sito,Story,Jorgen Klubien,Story,Thom Enriquez,Story,Ed Gombert,Story,Larry Leker,Story,Francis Glebas,Story,Barry Johnson,Story,Chris Sanders,Story,Kevin Harkey,Story,Andrew Gaskill,Story,Gary Trousdale,Story,Mark Kausler,Story,Lorna Cook,Story,Jim Capobianco,Story,Rick Maki,Story,Burny Mattinson,Story,Joe Ranft,Story","Family,Animation,Drama", English,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,"June2,1994,June15,1994,August27,2011,June23,1994,November18,1994,December25,2002,September16,2011,October6,2003"," $987,483,777.00","A review by msbreviews,If you enjoy reading my reviews, please follow my blog :),First of all, this is (obviously) a SPOILER review. I mean, who hasn’t seen this movie yet? If by some extraordinary circumstances you’re one of those unlucky souls, stop. Spend the next hour and a half watching this animated masterpiece and come back here. I will still avoid mentioning key details because I’m just used to it, and The Lion King has so many things to compliment that I don’t really need to get in-depth on spoilers. So, in case you haven’t notice it through my Twitter or occasional mentions in other reviews, The Lion Kin... ", 1h 29m,The Lion King
